ADDRESS_LA,X,Y
3505 CLEVELAND AVE,3672604.132,536772.3906
221 S GENOIS ST,3672170.856,536748.9187
434 S PIERCE ST,3670613.484,536777.802
3925 BAUDIN ST,3670671.371,536713.0104
3818 BAUDIN ST,3670935.83,536337.9612
130 S PIERCE ST,3671349.067,537763.1387
4612 S CARROLLTON AVE,3670773.289,537759.2862
4016 CLEVELAND AVE,3671079.545,537770.6596
134 S PIERCE ST,3671326.809,537737.1902
4608 S CARROLLTON AVE,3670753.069,537735.1971
201 S PIERCE ST,3671138.517,537731.5763
3921 CLEVELAND AVE,3671391.785,537646.346
3237 BANKS ST,3672948.806,535548.3339
2830 CANAL ST,3674588.472,535556.3908
3028 PALMYRA ST,3673624.722,535302.2812
2821 CLEVELAND AVE,3674515.629,535275.8233
319 S SALCEDO ST,3673418.914,535297.1393
235 S GAYOSO ST,3673827.632,535314.846
2752 CANAL ST,3674892.562,535287.1209
3220 BANKS ST,3672939.332,535299.1714
3022 PALMYRA ST,3673650.022,535283.4812
3504 BANKS ST,3672031.516,536017.1313
124 S LOPEZ ST,3673800.058,535992.5013
3319 PALMYRA ST,3673012.687,535988.6147
538 S CORTEZ ST,3670948.142,536009.1314
414 S GENOIS ST,3671751.432,536024.2696
431 S GENOIS ST,3671590.513,535999.1015
525 S TELEMACHUS ST,3671184.05,535988.463
3500 BANKS ST,3672055.355,535997.9655
508 S TELEMACHUS ST,3671364.602,535989.4161
3313 PALMYRA ST,3673021.637,535949.0163
3620 BAUDIN ST,3671464.103,535989.4403
418 S GENOIS ST,3671729.678,535999.1314
3038 CANAL ST,3674022.812,535952.1815
3311 PALMYRA ST,3673064.852,535949.4391
512 S TELEMACHUS ST,3671344.747,535963.1555
3520 BANKS ST,3671937.09,536099.4036
526 S CORTEZ ST,3671010.667,536091.0756
515 S TELEMACHUS ST,3671251.168,536060.9399
3516 BANKS ST,3671947.841,536059.6698
336 S CLARK ST,3672262.907,536058.6458
4001 TULANE AVE,3669898.973,536075.4678
532 S CORTEZ ST,3670979.952,536050.9108
3419 BANKS ST,3672336.042,536018.0807
3104 CANAL ST,3673940.272,536025.851
519 S TELEMACHUS ST,3671218.412,536023.8554
3508 BANKS ST,3672004.403,536037.2322
410 S GENOIS ST,3671771.253,536047.4737
534 S CORTEZ ST,3670965.537,536032.0513
427 S GENOIS ST,3671609.073,536024.2319
506 S TELEMACHUS ST,3671385.262,536016.7708
3919 TULANE AVE,3670147.78,535954.2345
209 S TELEMACHUS ST,3671953.185,537014.1233
136 S TELEMACHUS ST,3672162.643,537051.3583
317 S CORTEZ ST,3671431.839,536861.3808
3610 CLEVELAND AVE,3672217.397,536863.3263
437 S PIERCE ST,3670468.647,536851.1364
132 S GENOIS ST,3672445.732,536871.5854
306 S CORTEZ ST,3671612.584,536859.7059
523 S TELEMACHUS ST,3671203.067,536005.1493
2400 TULANE AVE,3675430.77,533057.9661
517 S TONTI ST,3675367.661,533008.0117
521 S TONTI ST,3675348.121,532982.5512
531 S TONTI ST,3675293.647,532907.945
527 S TONTI ST,3675305.49,532925.1165
2425 GRAVIER ST,3675057.396,532871.2354
543 S TONTI ST,3675234.651,532824.9088
2407 GRAVIER ST,3675178.969,532787.8912
2420 BRADISH ALY,3675213.396,532974.0998
2426 BRADISH ALY,3675175.551,532993.3045
2412 BRADISH ALY,3675246.157,532956.0248
626 S ROCHEBLAVE ST,3674857.03,532662.462
619 S TONTI ST,3675035.404,532638.4594
2067 POYDRAS ST,3675705.117,531475.9618
2075 POYDRAS ST,3675662.996,531498.1373
1937 LAFAYETTE ST,3676312.957,530684.1527
716 BERTRAND ST,3676279.363,530819.1549
1925 JULIA ST,3675544.709,530625.856
1932 CYPRESS ST,3675670.3,530820.0157
720 S GALVEZ ST,3674975.192,531065.1699
620 BERTRAND ST,3676379.44,531371.9479
630 BERTRAND ST,3676355.966,531284.624
634 BERTRAND ST,3676351.271,531255.5156
1938 PERDIDO ST,3676533.197,531442.7228
1943 POYDRAS ST,3676425.283,531133.2217
1917 JULIA ST,3675592.021,530598.135
1950 PERDIDO ST,3676446.788,531481.0319
2056 POYDRAS ST,3675679.998,531286.0634
3424 BANKS ST,3672200.919,535896.6185
3934 TULANE AVE,3669846.268,535726.6107
509 S GENOIS ST,3671498.642,535879.2724
3515 BAUDIN ST,3671794.516,535833.8894
528 S TELEMACHUS ST,3671282.982,535881.4262
3320 PALMYRA ST,3672889.572,535868.4661
2437 GRAVIER ST,3674982.802,532916.0216
2228 GRAVIER ST,3675549.122,532435.656
425 S JOHNSON ST,3676250.248,532476.0315
619 S MIRO ST,3675398.057,532450.2372
628 S TONTI ST,3675128.205,532488.5631
623 S MIRO ST,3675378.047,532427.8217
2131 GRAVIER ST,3675981.747,532426.4364
625 S MIRO ST,3675362.546,532404.5721
2212 GRAVIER ST,3675664.745,532419.1513
2208 GRAVIER ST,3675693.647,532409.5783
629 S MIRO ST,3675347.916,532383.8992
2206 GRAVIER ST,3675720.272,532394.4585
2000 TULANE AVE,3676767.247,532346.1913
2200 GRAVIER ST,3675747.647,532382.2034
308 S CORTEZ ST,3671589.958,536828.3268
